Ref,Val,Package,PosX,PosY,Rot,Side
"","","",-11.985942,-12.626160,0.000000,top
"","","",-22.353940,-36.438160,0.000000,top
"","","",-28.867940,-29.854160,90.000000,top
"","","",-7.565940,-36.428160,0.000000,top
"C3","GRM033R61A104ME15D","C_0201_0603Metric_L",-20.019500,-28.233980,180.000000,top
"C4","GRM033R61C473KE84D","C_0201_0603Metric_L",-20.019500,-28.818180,180.000000,top
"C7","GRM155R60J475ME87D","C_0402_1005Metric_L",-18.433940,-29.958160,-90.000000,top
"C8","GRM033R61A104ME15D","C_0201_0603Metric_L",-19.171100,-29.672380,-90.000000,top
"C9","GRM033R71A103KA01D","C_0201_0603Metric_L",-19.729900,-29.672380,-90.000000,top
"C10","GRM155R60J475ME87D","C_0402_1005Metric_L",-18.459900,-31.729780,-90.000000,top
"C11","GRM033R61A104ME15D","C_0201_0603Metric_L",-19.191500,-30.757980,90.000000,top
"C12","GRM033R71A103KA01D","C_0201_0603Metric_L",-19.765500,-30.748580,90.000000,top
"C13","GRM033R61A105ME15D","C_0201_0603Metric_L",-19.196500,-31.831380,-90.000000,top
"C14","GRM155R60J106ME15D","C_0402_1005Metric_L",-18.967900,-27.065580,90.000000,top
"C15","GRM033R61A104ME15D","C_0201_0603Metric_L",-19.707300,-27.385980,90.000000,top
"C16","GRM033R71A103KA01D","C_0201_0603Metric_L",-20.288700,-27.386380,90.000000,top
"C17","GRM033R61A104ME15D","C_0201_0603Metric_L",-27.080700,-27.497380,180.000000,top
"C18","GRM033R71A103KA01D","C_0201_0603Metric_L",-27.076300,-26.938580,180.000000,top
"C19","GRM21BR61A476ME15L","C_0805_2012Metric_L",-6.303940,-26.054160,90.000000,top
"C22","GRM033R61A104ME15D","C_0201_0603Metric_L",-27.077300,-29.199180,180.000000,top
"C23","GRM033R71A103KA01D","C_0201_0603Metric_L",-27.077300,-28.640380,180.000000,top
"C28","GRM033R61A105ME15D","C_0201_0603Metric_L",-19.733940,-25.058980,-90.000000,top
"C29","GRM033R61A104ME15D","C_0201_0603Metric_L",-17.443940,-28.796960,0.000000,top
"C30","GRM033R61A104ME15D","C_0201_0603Metric_L",-21.975300,-25.058980,90.000000,top
"C31","GRM033R61A104ME15D","C_0201_0603Metric_L",-22.661100,-25.058980,90.000000,top
"C32","GRM033R61A104ME15D","C_0201_0603Metric_L",-21.253900,-34.650780,-90.000000,top
"C33","GRM033R61A104ME15D","C_0201_0603Metric_L",-22.676300,-34.650780,-90.000000,top
"C34","GRM155R60J106ME15D","C_0402_1005Metric_L",-18.967900,-25.363780,-90.000000,top
"C35","GRM033R61A104ME15D","C_0201_0603Metric_L",-27.077300,-28.075980,180.000000,top
"C36","GRM033R61A104ME15D","C_0201_0603Metric_L",-21.965100,-34.650780,-90.000000,top
"C38","GRM033R61A105ME15D","C_0201_0603Metric_L",-27.077300,-29.757980,180.000000,top
"C39","GRM033R61A104ME15D","C_0201_0603Metric_L",-23.372300,-25.058980,90.000000,top
"C40","GRM155R60J106ME15D","C_0402_1005Metric_L",-27.207700,-31.256580,-90.000000,top
"C41","GRM033R61A104ME15D","C_0201_0603Metric_L",-17.443940,-29.508160,0.000000,top
"C44","GRM033R71A103KA01D","C_0201_0603Metric_L",-24.793940,-34.050580,-90.000000,top
"C45","GRM033R61A105ME15D","C_0201_0603Metric_L",-17.525120,-34.360780,-90.000000,top
"C48","GRM033R61A225ME47D","C_0201_0603Metric_L",-13.158940,-19.288160,0.000000,top
"D19","LED 0402","LED_0402_1005Metric",-23.387500,-31.778160,180.000000,top
"J2","Conn_01x05","FH19C-5S-0.5SH(10)",-5.883940,-16.724160,90.000000,top
"J_coax1","U.FL-R-SMT-1(10)","Coax_Conn_U.FL",-9.641040,-26.956840,90.000000,top
"J_coax_gnd1","Conn_01x01","Conn_1x1_2500x2500_Pad",-12.207080,-26.976800,0.000000,top
"L2","ADL3225V-470MT-TL000","L_1210_3225Metric_L",-6.143940,-31.554160,90.000000,top
"L4","BLM15HD102SN1D","L_0402_1005Metric",-17.523940,-31.768160,-90.000000,top
"L5","BLM15HD102SN1D","L_0402_1005Metric",-18.003940,-26.978160,90.000000,top
"R2","ERJ-1GNF49R9C","R_0201_0603Metric_ERJ_L",-18.927300,-28.818180,180.000000,top
"R3","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",-20.563940,-31.768160,90.000000,top
"R4","ERJ-1GNF1003C","R_0201_0603Metric_ERJ_L",-21.173940,-31.768160,-90.000000,top
"R7","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",-19.780700,-31.831380,90.000000,top
"R11","DNL","R_0201_0603Metric_ERJ_L",-25.683700,-31.866180,180.000000,top
"R12","1k","R_0201_0603Metric_ERJ_L",-18.089100,-34.360780,90.000000,top
"R13","500","R_0201_0603Metric_ERJ_L",-24.793940,-32.745780,-90.000000,top
"U1","DS90UB913ATRTVTQ1","QFN_33_P50_500X500X80L40X24T310L",-23.499300,-28.462580,0.000000,top
"U2","LTC3217EUD_TRPBF","HVQFN-16-1EP_3x3mm_P0.5mm_EP1.5x1.5mm",-11.718940,-16.655660,90.000000,top
"U5","BNO055","LGA-28_5.2x3.8mm_P0.5mm",-10.877080,-32.196800,0.000000,top
"U6","SG-210STF 66.6667ML3","OSC_CC250X200X80L70X75L",-26.394900,-33.669580,-90.000000,top
